--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                               |  Mean duration (s)    |  Num calls            |  Total time (s)       |  Percentage %         |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                                |  -                    |  3714                 |  76.351               |  100 %                |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                                                                                                                   |  59.25                |  1                    |  59.25                |  77.602               |
|  run_training_batch                                                                                                                                                   |  0.14643              |  100                  |  14.643               |  19.179               |
|  [LightningModule]MeshAutoencoder.optimizer_step                                                                                                                      |  0.14619              |  100                  |  14.619               |  19.147               |
|  [Strategy]SingleDeviceStrategy.training_step                                                                                                                         |  0.095823             |  100                  |  9.5823               |  12.55                |
|  [Strategy]SingleDeviceStrategy.validation_step                                                                                                                       |  2.7093               |  2                    |  5.4186               |  7.0969               |
|  [_TrainingEpochLoop].train_dataloader_next                                                                                                                           |  0.054133             |  100                  |  5.4133               |  7.0899               |
|  [Strategy]SingleDeviceStrategy.backward                                                                                                                              |  0.039205             |  100                  |  3.9205               |  5.1348               |
|  [Strategy]SingleDeviceStrategy.batch_to_device                                                                                                                       |  0.037651             |  102                  |  3.8404               |  5.0298               |
|  [LightningModule]MeshAutoencoder.transfer_batch_to_device                                                                                                            |  0.037576             |  102                  |  3.8328               |  5.0199               |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_end             |  0.86089              |  1                    |  0.86089              |  1.1275               |
|  [LightningModule]MeshAutoencoder.setup                                                                                                                               |  0.23894              |  1                    |  0.23894              |  0.31294              |
|  [Callback]TQDMProgressBar.on_train_batch_end                                                                                                                         |  0.0013461            |  100                  |  0.13461              |  0.17631              |
|  [LightningModule]MeshAutoencoder.optimizer_zero_grad                                                                                                                 |  0.00057833           |  100                  |  0.057833             |  0.075746             |
|  [_EvaluationLoop].val_next                                                                                                                                           |  0.0063719            |  2                    |  0.012744             |  0.016691             |
|  [LightningModule]MeshAutoencoder.configure_gradient_clipping                                                                                                         |  3.5925e-05           |  100                  |  0.0035925            |  0.0047052            |
|  [Callback]ModelSummary.on_fit_start                                                                                                                                  |  0.003477             |  1                    |  0.003477             |  0.0045539            |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_end             |  3.3516e-05           |  100                  |  0.0033516            |  0.0043898            |
|  [Callback]TQDMProgressBar.on_train_start                                                                                                                             |  0.0018442            |  1                    |  0.0018442            |  0.0024154            |
|  [Callback]TQDMProgressBar.on_validation_batch_start                                                                                                                  |  0.00074641           |  2                    |  0.0014928            |  0.0019552            |
|  [Callback]TQDMProgressBar.on_sanity_check_start                                                                                                                      |  0.0013351            |  1                    |  0.0013351            |  0.0017486            |
|  [Callback]TQDMProgressBar.on_train_end                                                                                                                               |  0.0012968            |  1                    |  0.0012968            |  0.0016985            |
|  [LightningModule]MeshAutoencoder.on_validation_model_eval                                                                                                            |  0.00059369           |  2                    |  0.0011874            |  0.0015552            |
|  [Callback]TQDMProgressBar.on_train_epoch_start                                                                                                                       |  0.00093294           |  1                    |  0.00093294           |  0.0012219            |
|  [Callback]TQDMProgressBar.on_validation_end                                                                                                                          |  0.00045999           |  2                    |  0.00091997           |  0.0012049            |
|  [LightningModule]MeshAutoencoder.on_validation_model_zero_grad                                                                                                       |  0.00083729           |  1                    |  0.00083729           |  0.0010966            |
|  [Callback]TQDMProgressBar.on_validation_batch_end                                                                                                                    |  0.0004123            |  2                    |  0.00082461           |  0.00108              |
|  [LightningModule]MeshAutoencoder.configure_optimizers                                                                                                                |  0.00067715           |  1                    |  0.00067715           |  0.00088688           |
|  [Callback]ModelSummary.on_train_batch_end                                                                                                                            |  6.6944e-06           |  100                  |  0.00066944           |  0.0008768            |
|  [Callback]TQDMProgressBar.on_after_backward                                                                                                                          |  6.3995e-06           |  100                  |  0.00063995           |  0.00083816           |
|  [Callback]TQDMProgressBar.on_validation_start                                                                                                                        |  0.0002729            |  2                    |  0.00054581           |  0.00071486           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.setup                          |  0.00042851           |  1                    |  0.00042851           |  0.00056124           |
|  [Callback]TQDMProgressBar.on_train_batch_start                                                                                                                       |  3.9245e-06           |  100                  |  0.00039245           |  0.000514             |
|  [Callback]TQDMProgressBar.on_before_optimizer_step                                                                                                                   |  3.8685e-06           |  100                  |  0.00038685           |  0.00050667           |
|  [Callback]TQDMProgressBar.on_before_zero_grad                                                                                                                        |  3.5394e-06           |  100                  |  0.00035394           |  0.00046356           |
|  [Callback]TQDMProgressBar.on_train_epoch_end                                                                                                                         |  0.00035382           |  1                    |  0.00035382           |  0.00046341           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_after_backward              |  3.4943e-06           |  100                  |  0.00034943           |  0.00045766           |
|  [Callback]ModelSummary.on_after_backward                                                                                                                             |  3.2132e-06           |  100                  |  0.00032132           |  0.00042084           |
|  [Callback]TQDMProgressBar.on_before_backward                                                                                                                         |  3.149e-06            |  100                  |  0.0003149            |  0.00041244           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_before_optimizer_step       |  2.5728e-06           |  100                  |  0.00025728           |  0.00033697           |
|  [Callback]ModelSummary.on_before_optimizer_step                                                                                                                      |  2.558e-06            |  100                  |  0.0002558            |  0.00033503           |
|  [LightningModule]MeshAutoencoder.on_before_batch_transfer                                                                                                            |  2.4003e-06           |  102                  |  0.00024483           |  0.00032067           |
|  [LightningModule]MeshAutoencoder.on_train_batch_end                                                                                                                  |  2.4247e-06           |  100                  |  0.00024247           |  0.00031757           |
|  [LightningModule]MeshAutoencoder.on_after_backward                                                                                                                   |  2.2578e-06           |  100                  |  0.00022578           |  0.00029571           |
|  [LightningModule]MeshAutoencoder.on_after_batch_transfer                                                                                                             |  2.1658e-06           |  102                  |  0.00022092           |  0.00028934           |
|  [Callback]ModelSummary.on_before_zero_grad                                                                                                                           |  1.8441e-06           |  100                  |  0.00018441           |  0.00024153           |
|  [Callback]ModelSummary.on_train_batch_start                                                                                                                          |  1.7865e-06           |  100                  |  0.00017865           |  0.00023398           |
|  [LightningModule]MeshAutoencoder.on_before_optimizer_step                                                                                                            |  1.6915e-06           |  100                  |  0.00016915           |  0.00022155           |
|  [Callback]ModelSummary.on_before_backward                                                                                                                            |  1.6597e-06           |  100                  |  0.00016597           |  0.00021738           |
